us_rank,university_name,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students,female_male_ratio,HIGHDEG,ADM_RATE,ADM_RATE_ALL,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,SATVRMID,SATMTMID,SATWRMID,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75,ACTWR25,ACTWR75,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,SAT_AVG_ALL,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN
1,California Institute of Technology,96.3,59.8,99.4,99.7,95.6,95.5,2243,6.9,27%,33 : 67,4,0.1055,0.1055,720,800,770,800,720,790,760,785,755,33,35,33,35,34,36,8,10,34,34,35,9,1534,1534,977,0.304,0.0174,0.1003,0.4248,0.0031,0,0.0594,0.089,0.002
2,Stanford University,95,56.6,98.8,99.3,62.4,93.7,15596,7.8,22%,42 : 58,4,0.0569,0.0569,680,780,700,790,690,780,730,745,735,31,34,32,35,31,35,NULL,NULL,33,34,33,NULL,1466,1466,6980,0.3702,0.063,0.1688,0.1908,0.009,0.0037,0.1079,0.0809,0.0056
3,Harvard University,94.9,63.7,98.6,99.2,39.9,93.6,20152,8.9,25%,,4,0.0584,0.0584,700,800,710,800,710,800,750,755,755,32,35,33,35,31,35,8,10,34,34,33,9,1501,1501,7278,0.4624,0.0653,0.0933,0.1777,0.0022,0.0008,0.0599,0.1028,0.0357
4,Massachusetts Institute of Technology,92.9,81.6,89.2,99.9,92.9,93.1,11074,9,33%,37 : 63,4,0.0815,0.0815,680,770,750,800,690,780,725,775,735,33,35,33,35,34,36,8,10,34,34,35,9,1503,1503,4510,0.3707,0.053,0.1643,0.2404,0.0027,0,0.0508,0.096,0.0222
5,Princeton University,89.5,54.5,99.4,99.8,79.5,92.7,7929,8.4,27%,45 : 55,4,0.0741,0.0741,700,800,710,800,710,790,750,755,750,31,35,32,35,30,35,8,10,33,34,33,9,1495,1495,5234,0.4713,0.0764,0.081,0.2008,0.0008,0.0006,0.0417,0.1087,0.0187
6,"University of California, Berkeley",85.1,49.7,99.3,99.3,65.4,90.5,36186,16.4,15%,50 : 50,4,0.18,0.18,590,720,630,770,620,750,655,700,685,27,33,26,34,27,34,NULL,NULL,30,30,31,NULL,1350,1350,25951,0.2857,0.0221,0.132,0.3494,0.0012,0.0028,0.0453,0.1313,0.0304
7,University of Chicago,89.6,55.3,92.9,98.7,-,90.4,14221,6.9,21%,42 : 58,4,0.0881,0.0881,720,800,720,790,700,780,760,755,740,32,35,33,35,31,35,8,10,34,34,33,9,1504,1504,5697,0.4546,0.0453,0.0869,0.1813,0.0018,0.0005,0.0374,0.0937,0.0985
8,Yale University,93.2,54.7,92.5,94.8,38.2,89.2,11751,4.4,20%,50 : 50,4,0.0705,0.0705,700,800,710,790,710,800,750,750,755,32,35,NULL,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,1497,1497,5422,0.4734,0.0673,0.1013,0.1645,0.0057,0.0006,0.0598,0.1051,0.0223
9,"University of California, Los Angeles",87.3,42.3,93.8,95.9,-,87.7,38206,10.3,15%,52 : 48,4,0.2199,0.2199,560,680,600,760,590,710,620,680,650,25,31,24,32,25,33,NULL,NULL,28,28,29,NULL,1289,1289,28667,0.2859,0.0261,0.1842,0.3099,0.0012,0.0036,0.0482,0.1176,0.0234
10,Columbia University,89.7,66.1,82,96.1,-,87,25055,5.9,28%,,4,0.0742,0.0742,690,780,700,790,690,780,735,745,735,31,34,32,35,29,35,8,10,33,34,32,9,1471,1471,7970,0.3922,0.0749,0.1358,0.1709,0.0055,0.0014,0.0449,0.1368,0.0376
11,University of Pennsylvania,90,38.1,89.4,96.2,43.7,86.6,20376,6.5,20%,51 : 49,4,0.1224,0.1224,670,760,690,780,690,780,715,735,735,30,34,31,35,30,35,8,10,32,33,33,9,1442,1442,10606,0.4629,0.0731,0.0998,0.1815,0.0014,0.0006,0.0359,0.1052,0.0396
12,Johns Hopkins University,81.8,57.3,85.5,95.3,100,85.6,15128,3.6,23%,50 : 50,4,0.1813,0.1813,650,740,670,770,660,750,695,720,705,30,34,30,34,29,35,8,10,32,32,32,9,1418,1418,5932,0.4872,0.0556,0.1015,0.1861,0.0012,0.0007,0.0406,0.1043,0.0228
13,Cornell University,77,53.8,92.1,91.8,39.5,83.3,21424,10.2,19%,48 : 52,4,0.1556,0.1556,640,740,680,780,650,750,690,730,700,30,34,NULL,NULL,NULL,NULL,NULL,NULL,32,NULL,NULL,NULL,1422,1422,14309,0.4268,0.0587,0.1116,0.1635,0.003,0.0003,0.0432,0.0939,0.0989
14,Northwestern University,77.6,33.8,87.3,98.2,64.4,83.1,18334,13.8,15%,48 : 52,4,0.1532,0.1532,690,760,700,790,690,770,725,745,730,31,34,32,35,30,35,8,10,33,34,33,9,1458,1458,8855,0.5432,0.0567,0.0966,0.1704,0.0026,0,0.0473,0.0688,0.0145
15,University of Michigan,76.1,47.6,91.4,91.6,53.9,82.6,41786,9,16%,48 : 52,4,0.3326,0.3326,620,720,660,760,630,730,670,710,680,28,32,27,31,28,34,NULL,NULL,30,29,31,NULL,1352,1352,28077,0.6272,0.0436,0.0412,0.1222,0.0016,0.0004,0.031,0.0667,0.0661
16,Carnegie Mellon University,71.8,51.4,87,95.5,55.9,81.5,11885,13.1,35%,39 : 61,4,0.2549,0.2549,640,740,700,790,650,750,690,745,700,30,34,30,34,30,34,NULL,NULL,32,32,32,NULL,1432,1432,5834,0.3877,0.0519,0.0754,0.2473,0.0005,0.0002,0.0415,0.1414,0.054
17,Duke University,72.3,45.8,81.5,97,100,81.2,15172,4.8,17%,49 : 51,4,0.1342,0.1342,670,760,690,790,680,780,715,740,730,30,34,30,35,31,35,8,10,32,33,33,9,1444,1444,6501,0.4861,0.1001,0.0611,0.2124,0.0062,0.0005,0.0174,0.0892,0.0271
18,University of Washington,74.7,39.1,81.3,97,41.3,79.9,44020,11.8,13%,53 : 47,4,0.5523,0.5778,520,650,580,710,530,640,585,645,585,25,30,24,31,25,31,8,9,28,28,28,9,1234,1203,28754,0.4399,0.0267,0.0692,0.2422,0.0066,0.0048,0.0518,0.1407,0.0181
19,Georgia Institute of Technology,70.2,66.3,79.5,90.3,74.9,78.8,19967,20.1,26%,31 : 69,4,0.5493,0.5493,600,700,660,760,610,700,650,710,655,28,32,28,33,29,34,8,9,30,31,32,9,1352,1352,13975,0.553,0.0628,0.065,0.175,0.0013,0.0009,0.0323,0.1048,0.0049
20,University of Texas at Austin,75.5,42.1,80.7,91,57.9,78.8,49427,17.4,9%,51 : 49,4,0.4019,0.4019,550,670,590,710,550,680,610,650,615,25,31,25,33,26,32,7,9,28,29,29,8,1262,1262,39323,0.4754,0.0429,0.2182,0.1792,0.0022,0.0011,0.0314,0.0465,0.0032
21,University of Wisconsin-Madison,76.1,29.8,80.1,88.2,54.8,76.9,39655,10.8,11%,51 : 49,4,0.6792,0.6792,530,650,630,750,580,670,590,690,625,26,30,26,32,26,31,8,9,28,29,29,9,1268,1268,29504,0.7713,0.0215,0.0459,0.0551,0.0022,0.0012,0.0264,0.0725,0.0038
22,University of Illinois at Urbana-Champaign,74.2,36,84.9,80.8,-,75.8,42727,18.7,20%,47 : 53,4,0.6239,0.6239,560,670,700,780,580,670,615,740,625,26,31,26,32,26,33,8,9,29,29,30,9,1303,1303,31663,0.5315,0.0554,0.0825,0.1518,0.0006,0.0015,0.0253,0.1462,0.0052
23,"University of California, Santa Barbara",56.1,58.3,73.5,99.4,100,75.6,22020,27.3,11%,52 : 48,4,0.4444,0.4444,530,650,560,690,550,660,590,625,605,24,29,23,30,24,30,NULL,NULL,27,27,27,NULL,1212,1212,19362,0.3965,0.0213,0.2481,0.1763,0.001,0.0007,0.0843,0.0397,0.032
24,"University of California, San Diego",63.4,34.2,79,96.2,43.9,75.2,27233,6.5,11%,48 : 52,4,0.375,0.375,550,660,620,730,580,690,605,675,635,25,31,24,31,26,33,NULL,NULL,28,28,30,NULL,1276,1276,23792,0.2357,0.0119,0.1581,0.4011,0.0013,0.0041,0.0476,0.1181,0.0222
25,New York University,73.8,38.7,67.4,89.2,29.5,72.8,42056,6.8,19%,55 : 45,4,0.2605,0.2881,620,720,630,740,640,730,670,685,685,28,32,NULL,NULL,NULL,NULL,NULL,NULL,30,NULL,NULL,NULL,1352,1348,22172,0.3837,0.0467,0.1052,0.1837,0.0024,0.0009,0.0346,0.1363,0.1065
26,University of North Carolina at Chapel Hill,70.4,32.9,69.3,90.1,40,72.4,26518,7.3,8%,58 : 42,4,0.2759,0.2759,590,700,610,710,580,690,645,660,635,28,32,28,34,27,33,8,9,30,31,30,9,1313,1313,17882,0.6632,0.0838,0.0707,0.0884,0.0048,0.0014,0.0373,0.0247,0.0257
27,"University of California, Davis",67.9,51.7,71.6,82.7,52.5,71.8,35364,13.9,13%,54 : 46,4,0.4521,0.4521,510,640,560,680,530,650,575,620,590,23,29,22,30,24,30,NULL,NULL,26,26,27,NULL,1192,1192,26483,0.3125,0.0211,0.172,0.3551,0.002,0.0048,0.0511,0.0618,0.0196
