us_rank,university_name,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students,female_male_ratio,HIGHDEG,ADM_RATE,ADM_RATE_ALL,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,SATVRMID,SATMTMID,SATWRMID,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75,ACTWR25,ACTWR75,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,SAT_AVG_ALL,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN
45,"University of Maryland, College Park",44.9,40.4,51.4,83.9,32.1,57.9,31331,8.4,9%,48 : 52,4,0.4699,0.4699,580,690,620,730,NULL,NULL,635,675,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1310,1310,26045,0.5368,0.1249,0.0887,0.1557,0.0012,0.0008,0.0362,0.0304,0.0253
46,University of Arizona,47,31.3,53.7,76.9,83.9,57.7,36429,12.7,8%,52 : 48,4,0.7692,0.7692,483,600,500,630,480,590,542,565,535,21,27,NULL,NULL,NULL,NULL,NULL,NULL,24,NULL,NULL,NULL,1106,1106,31399,0.5464,0.0333,0.2444,0.0561,0.0106,0.0021,0.0417,0.055,0.0104
47,"Rutgers, the State University of New Jersey",50.9,27.9,61.3,69.5,35.8,57.5,37032,17.3,8%,51 : 49,4,0.5951,0.5796,520,640,570,690,540,650,580,630,595,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1210,1178,33427,0.4518,0.0767,0.123,0.2556,0.0008,0.0032,0.0331,0.0378,0.0179
48,University of Rochester,46,45.9,37.8,92.3,39.6,57.2,9390,4.5,26%,49 : 51,4,0.3568,0.3568,600,700,650,750,620,700,650,700,660,29,32,28,34,27,33,NULL,NULL,31,31,30,NULL,1353,1353,6047,0.5361,0.0475,0.0567,0.1052,0.0026,0.0008,0.0278,0.1507,0.0726
49,Case Western Reserve University,56.5,34.2,42,80.4,-,56.9,9259,6.4,17%,48 : 52,4,0.4188,0.4188,600,720,670,760,620,710,660,715,665,29,33,28,34,28,34,8,9,31,31,31,9,1377,1377,4551,0.5364,0.047,0.051,0.1868,0.0013,0.0002,0.0363,0.0824,0.0587
50,Vanderbilt University,51.5,27.5,40.9,85,53,56.6,12161,3.6,10%,52 : 48,4,0.1274,0.1274,700,780,710,790,680,770,740,750,725,32,34,32,35,30,35,8,10,33,34,33,9,1475,1475,6794,0.6057,0.0802,0.0792,0.0848,0.0038,0.0006,0.0489,0.0578,0.039
51,University of Virginia,55.9,27.9,43,73.5,48.6,55,23845,10.2,12%,52 : 48,4,0.2999,0.2999,620,720,630,740,620,720,670,685,670,29,33,29,34,28,34,8,9,31,32,31,9,1362,1362,15020,0.607,0.063,0.0579,0.1224,0.0013,0.0003,0.0429,0.0565,0.0486
52,"University of California, Santa Cruz",32.1,32.5,39.6,99.9,-,54.5,17404,22.7,1%,53 : 47,4,0.5991,0.5991,470,610,490,620,470,610,540,555,540,20,26,19,26,20,27,NULL,NULL,23,23,24,NULL,1087,1087,15695,0.368,0.0201,0.3019,0.2047,0.0017,0.0015,0.0698,0.0108,0.0215
53,University of Florida,52,31.2,62.9,56,-,54.5,50095,18.7,9%,54 : 46,4,0.4655,0.4655,580,670,590,690,570,680,625,640,625,26,31,25,32,25,30,8,9,29,29,28,9,1272,1272,32346,0.5843,0.074,0.1902,0.0754,0.0026,0.007,0.0282,0.0105,0.0277
54,Dartmouth College,47.5,31.5,35.9,87,38.6,54.4,6178,6.6,16%,47 : 53,4,0.0978,0.0978,670,780,680,780,680,790,725,730,735,30,34,NULL,NULL,NULL,NULL,NULL,NULL,32,NULL,NULL,NULL,1446,1446,4154,0.4685,0.0655,0.0763,0.1399,0.0197,0.0005,0.0546,0.084,0.091
55,Indiana University,48.3,36,44.2,72.5,-,53.2,62468,13.6,13%,53 : 47,4,0.7217,0.7217,520,630,540,660,510,620,575,600,565,24,30,24,31,24,30,7,8,27,28,27,8,1198,1198,31984,0.7313,0.0406,0.0438,0.0384,0.0012,0.0007,0.031,0.1075,0.0056
56,University of Utah,43.3,25.2,41.3,81,63.3,53.2,25674,16.9,9%,45 : 55,4,0.8174,0.8174,483,620,500,648,480,610,552,574,545,21,27,20,28,19,27,7,8,24,24,23,8,1109,1109,23273,0.7156,0.0122,0.0938,0.0505,0.0054,0.0059,0.0319,0.0664,0.0182
57,Arizona State University,38.4,27.4,45.2,79.9,31.8,51.9,83236,29.9,9%,50 : 50,4,0.8023,0.7626,500,620,520,650,NULL,NULL,560,585,NULL,22,28,21,28,23,28,NULL,NULL,25,25,26,NULL,1145,1108,38480,0.5755,0.0398,0.1853,0.0677,0.0136,0.0025,0.0376,0.0715,0.0066
58,Boston College,34.5,52.4,33.2,88.7,-,51.6,13216,17.4,19%,54 : 46,4,0.3222,0.3222,620,710,650,740,640,730,665,695,685,30,33,29,34,28,33,8,10,32,32,31,9,1375,1375,9465,0.5797,0.0432,0.1055,0.0937,0.0007,0.0003,0.028,0.052,0.0968
59,"University of California, Riverside",29.1,62.8,32.5,90.3,33.5,51.1,20626,22,12%,51 : 49,4,0.62,0.62,470,580,500,630,480,590,525,565,535,20,25,19,25,20,27,NULL,NULL,23,22,24,NULL,1078,1078,18612,0.1442,0.0487,0.3589,0.3615,0.0016,0.0039,0.0354,0.0315,0.0145
